,full_address,latitude,longitude,Special_Needs_Fac_Availability
93,Xingnan Primary School 5 Jurong West Street 91 Singapore 649036,1.34283,103.68778,No
94,Bendemeer Primary School 91 Bendemeer Road Singapore 339948,1.3220672,103.8653784,Yes
95,"Farrer Park Primary School 2 Farrer Park Rd, Singapore 217567",1.3122926,103.8508244,No
96,Hong Wen School 30 Towner Road Singapore 327829,1.3217339,103.8576625,No
97,Ngee Ann Primary School 344 Marine Terrace Singapore 449149,1.3056219,103.9180054,No
98,"Tanjong Katong Primary School 860, New Upper Changi Road Singapore 467353",1.3246501,103.9385806,Yes
99,Tao Nan School 49 Marine Crescent Singapore 449761,1.3049059,103.911434,No
100,Anglo-Chinese School (Primary) 50 Barker Road Singapore 309918,1.3186818,103.8358661,No
101,"St Josephs Institution Junior No. 3 Essex Road, Singapore 309331",1.3174712,103.8458457,No
102,"Singapore Chinese Girls’ School (Primary) 60 Dunearn Road, Singapore 309434",1.3210709,103.8280588,No
103,Casuarina Primary School 30 Pasir Ris Street 41 Singapore 518935,1.3725006,103.9570205,No
104,Elias Park Primary School 11 Pasir Ris Street 52 Singapore 518866,1.3749538,103.9452385,Yes
105,Meridian Primary School 20 Pasir Ris Street 71 Singapore 518798,1.376032,103.9350488,No
106,PARK VIEW PRIMARY SCHOOL 60 PASIR RIS DRIVE 1 Singapore 519524,1.3777046,103.9395261,No
107,Pasir Ris Primary School 5 Pasir Ris Street 21 Singapore 518968,1.3722117,103.9628003,No
108,White Sands Primary School 2 Pasir Ris Street 11 Singapore 519075,1.364903,103.961329,No
109,Edgefield Primary School 41 Edgefield Plains Singapore 828869,1.4004367,103.9076926,Yes
110,Greendale Primary School 50 Edgedale Plains Singapore 828848,1.3967393,103.9127912,No
111,Horizon Primary School 61 Edgedale Plains Singapore 828819,1.3998175,103.9131302,Yes
112,Mee Toh School 21 Edgedale Plains Singapore 828867,1.3947729,103.9089333,No
113,Oasis Primary School 71 Edgefield Plains Singapore 828716,1.404288,103.9109619,Yes
114,Punggol Cove Primary School 52 Sumang Walk Singapore 828674,1.4122254,103.8985828,Yes
115,Punggol Green Primary School 98 Punggol Walk Singapore 828772,1.4018544,103.8988531,Yes
116,"Punggol View Primary School 9, Punggol Place Singapore 828845",1.4052956,103.9051799,Yes
117,Waterway Primary School 70 Punggol Drive Singapore 828802,1.3990541,103.9184708,Yes
118,Fairfield Methodist School (Primary) 100 Dover Road Singapore 139648,1.3007145,103.7857661,No
119,New Town Primary School 300 Tanglin Halt Road Singapore 148812,1.3000379,103.8000744,No
120,Queenstown Primary School 310 Margaret Drive Singapore 149303,1.2968505,103.8078866,Yes
121,Canberra Primary School 21 Admiralty Drive Singapore 757714,1.450997,103.8155405,Yes
122,Endeavour Primary School 10 Admiralty Link Singapore 757521,1.4545646,103.8171781,No
123,Northoaks Primary School 61 Sembawang Drive Singapore 757622,1.456638,103.813826,Yes
124,Sembawang Primary School 10 Sembawang Drive Singapore 757715,1.4453649,103.8210452,Yes
125,Wellington Primary School 10 Wellington Circle Singapore 757702,1.4517917,103.8226331,No
126,Anchor Green Primary School 31 Anchorvale Drive Singapore 544969,1.3909254,103.8874074,No
127,Compassvale Primary School 21 Compassvale Street Singapore 545091,1.39418,103.897901,Yes
128,"Fern Green Primary School 70 Fernvale Link, Singapore 797538",1.3974791,103.8798503,Yes
129,Fernvale Primary School 1 Fernvale Lane Singapore 797701,1.389948,103.873919,No
130,"Nan Chiau Primary School 50 Anchorvale Link, Singapore 545080",1.3920784,103.8909245,Yes
131,North Spring Primary School 1 Rivervale Street Singapore 545088,1.386881,103.903609,No
132,North Vista Primary School 20 Compassvale Link Singapore 544974,1.3829986,103.8958357,No
133,Palm View Primary School 150 Compassvale Bow Singapore 544822,1.3839074,103.8907953,Yes
134,Rivervale Primary School 80 RIVERVALE DRIVE SINGAPORE 545092,1.393196,103.904383,No
135,Seng Kang Primary School 21 Compassvale Walk Singapore 545166,1.3894174,103.8998085,Yes
136,Sengkang Green Primary School 15 Fernvale Road Singapore 797636,1.3925337,103.8751169,Yes
137,SPRINGDALE PRIMARY SCHOOL 71 Anchorvale Link Singapore 544799,1.3949667,103.8896801,Yes
138,CHIJ (Our Lady of Good Counsel) 2C Burghley Drive Singapore 558979,1.357391,103.8637708,No
139,"Rosyth School 21 Serangoon North Ave 4, Singapore 555855",1.3729086,103.8746431,No
140,St Gabriel’s Primary School 220 Lorong Chuan Singapore 556742,1.3503199,103.8617752,No
141,Yangzheng Primary School 15 Serangoon Avenue 3 Singapore 556108,1.3488247,103.8683225,No
142,Zhonghua Primary School 12 Serangoon Ave 4 Singapore 556095,1.3601625,103.8697917,Yes
143,Angsana Primary School 3 Tampines Street 22 Singapore 529366,1.3488946,103.9516338,No
144,Changkat Primary School 11 Simei Street 3 Singapore 529896,1.3404098,103.951985,No
145,Chongzheng Primary School 1 Tampines Street 21 Singapore 529392,1.350835,103.951438,No
146,East Spring Primary School 31 Tampines Street 33 Singapore 529258,1.35349,103.961799,No
147,Gongshang Primary School 1 Tampines Street 42 Singapore 529176,1.3571755,103.9491666,No
